train_id,passage_time,avg_speed,min_speed,max_speed,speed_variance,length,arrival_time
f_train_slow.0,0.0,0.0,0.0,0.0,0.0,150.0,0.1
f_train_med.0,0.0,0.0,0.0,0.0,0.0,150.0,180.1
f_train_fast.0,0.0,0.0,0.0,0.0,0.0,150.0,360.1
f_train_slow.1,0.0,0.0,0.0,0.0,0.0,150.0,540.1
f_train_med.1,0.0,0.0,0.0,0.0,0.0,150.0,720.1
f_train_fast.1,0.0,0.0,0.0,0.0,0.0,150.0,900.1
f_train_slow.2,0.0,0.0,0.0,0.0,0.0,150.0,1080.1
f_train_med.2,0.0,0.0,0.0,0.0,0.0,150.0,1260.1
f_train_fast.2,0.0,0.0,0.0,0.0,0.0,150.0,1440.1
f_train_slow.3,0.0,0.0,0.0,0.0,0.0,150.0,1620.1
f_train_med.3,0.0,0.0,0.0,0.0,0.0,150.0,1800.1
f_train_fast.3,0.0,0.0,0.0,0.0,0.0,150.0,1980.1
f_train_slow.4,0.0,0.0,0.0,0.0,0.0,150.0,2160.1
f_train_med.4,0.0,0.0,0.0,0.0,0.0,150.0,2340.1
f_train_fast.4,0.0,0.0,0.0,0.0,0.0,150.0,2520.1
f_train_slow.5,0.0,0.0,0.0,0.0,0.0,150.0,2700.1
f_train_med.5,0.0,0.0,0.0,0.0,0.0,150.0,2880.1
f_train_fast.5,0.0,0.0,0.0,0.0,0.0,150.0,3060.1
f_train_slow.6,0.0,0.0,0.0,0.0,0.0,150.0,3240.1
f_train_med.6,0.0,0.0,0.0,0.0,0.0,150.0,3420.1
