vehicle_id,travel_time
cars_ew.1,17.0
cars_ew.0,20.0
cars_ew.2,23.0
cars_ew.3,22.0
cars_ew.5,18.0
cars_ew.6,17.0
cars_ew.4,22.0
cars_ew.9,16.0
cars_ew.7,20.0
cars_ew.8,20.0
cars_ew.10,18.0
cars_ew.11,21.0
cars_ew.12,21.0
cars_ew.13,20.0
cars_ew.15,18.0
cars_ew.14,21.0
cars_ew.16,16.0
cars_ew.18,16.0
cars_ew.17,18.0
cars_ew.19,21.0
cars_ew.20,20.0
cars_ew.21,18.0
cars_ew.22,18.0
cars_ew.25,16.0
cars_ew.23,21.0
cars_ew.26,17.0
cars_ew.24,22.0
cars_ew.28,16.0
cars_ew.27,19.0
cars_ew.30,16.0
cars_ew.29,19.0
cars_ew.31,18.0
cars_ew.32,22.0
cars_ew.34,18.0
cars_ew.33,20.0
cars_ew.35,19.0
cars_ew.36,17.0
cars_ew.37,19.0
cars_ew.39,17.0
cars_ew.38,19.0
cars_ew.40,19.0
cars_ew.42,19.0
cars_ew.41,20.0
cars_ew.43,18.0
cars_ew.44,19.0
cars_ew.47,17.0
cars_ew.46,20.0
cars_ew.45,21.0
cars_ew.49,17.0
cars_ew.48,21.0
cars_ew.50,19.0
cars_ew.52,18.0
cars_ew.51,20.0
cars_ew.53,18.0
cars_ew.54,20.0
cars_ew.56,19.0
cars_ew.55,22.0
cars_ew.57,21.0
cars_ew.58,19.0
cars_ew.59,18.0
cars_ew.60,16.0
cars_ew.62,17.0
cars_ew.61,18.0
cars_ew.64,18.0
cars_ew.65,18.0
cars_ew.63,23.0
cars_ew.66,18.0
cars_ew.67,18.0
cars_ew.68,18.0
cars_ew.70,16.0
cars_ew.69,19.0
cars_ew.71,16.0
cars_ew.72,16.0
cars_ew.73,19.0
cars_ew.74,17.0
cars_ew.75,19.0
cars_ew.77,17.0
cars_ew.76,21.0
cars_ew.78,17.0
cars_ew.79,16.0
cars_ew.80,17.0
cars_ew.81,16.0
cars_ew.83,18.0
cars_ew.82,20.0
cars_ew.84,20.0
cars_ew.86,16.0
cars_ew.85,21.0
cars_ew.88,19.0
cars_ew.87,20.0
cars_ew.89,18.0
cars_ew.90,19.0
cars_ew.91,17.0
cars_ew.92,21.0
cars_ew.94,19.0
cars_ew.93,21.0
cars_ew.96,17.0
cars_ew.95,20.0
cars_ew.97,22.0
cars_ew.98,21.0
cars_ew.101,17.0
cars_ew.99,23.0
cars_ew.102,18.0
cars_ew.100,22.0
cars_ew.103,19.0
cars_ew.104,20.0
cars_ew.105,18.0
cars_ew.106,17.0
cars_ew.107,17.0
cars_ew.108,17.0
cars_ew.110,16.0
cars_ew.109,21.0
cars_ew.111,18.0
cars_ew.113,17.0
cars_ew.112,20.0
cars_ew.115,16.0
cars_ew.114,19.0
cars_ew.116,17.0
cars_ew.117,20.0
cars_ew.119,16.0
cars_ew.118,21.0
cars_ew.120,18.0
cars_ew.122,18.0
cars_ew.121,19.0
cars_ew.123,18.0
cars_ew.124,17.0
cars_ew.126,19.0
cars_ew.128,15.0
cars_ew.125,22.0
cars_ew.130,16.0
cars_ew.129,23.0
cars_ew.127,27.0
cars_ew.131,19.0
cars_ew.132,19.0
cars_ew.134,19.0
cars_ew.133,21.0
cars_ew.136,19.0
cars_ew.138,16.0
cars_ew.137,20.0
cars_ew.135,22.0
cars_ew.140,17.0
cars_ew.139,20.0
cars_ew.141,19.0
cars_ew.142,18.0
cars_ew.144,16.0
cars_ew.143,21.0
cars_ew.145,19.0
cars_ew.146,17.0
cars_ew.147,19.0
cars_ew.149,16.0
cars_ew.148,19.0
cars_ew.151,17.0
cars_ew.150,20.0
cars_ew.152,20.0
cars_ew.153,19.0
cars_ew.154,18.0
cars_ew.155,17.0
cars_ew.157,16.0
cars_ew.156,17.0
cars_ew.159,16.0
cars_ew.158,19.0
cars_ew.162,19.0
cars_ew.160,22.0
cars_ew.161,23.0
cars_ew.163,20.0
cars_ew.165,19.0
cars_ew.164,21.0
cars_ew.166,20.0
cars_ew.168,19.0
cars_ew.169,17.0
cars_ew.167,21.0
cars_ew.171,19.0
cars_ew.172,20.0
cars_ew.170,22.0
cars_ew.174,21.0
cars_ew.173,23.0
cars_ew.176,18.0
cars_ew.177,18.0
cars_ew.175,23.0
cars_ew.178,20.0
cars_ew.180,19.0
cars_ew.179,21.0
cars_ew.182,17.0
cars_ew.181,21.0
cars_ew.183,19.0
cars_ew.184,19.0
cars_ew.185,20.0
cars_ew.186,21.0
cars_ew.188,17.0
cars_ew.187,23.0
cars_ew.191,16.0
cars_ew.190,19.0
cars_ew.189,23.0
cars_ew.192,17.0
cars_ew.195,17.0
cars_ew.193,21.0
cars_ew.194,20.0
cars_ew.197,16.0
cars_ew.196,16.0
cars_ew.198,17.0
cars_ew.199,18.0
cars_ew.200,18.0
cars_ew.201,17.0
cars_ew.202,20.0
cars_ew.204,19.0
cars_ew.203,22.0
cars_ew.205,19.0
cars_ew.207,17.0
cars_ew.208,17.0
cars_ew.206,24.0
cars_ew.209,19.0
cars_ew.210,18.0
cars_ew.211,18.0
cars_ew.214,15.0
cars_ew.213,18.0
cars_ew.212,22.0
cars_ew.216,18.0
cars_ew.217,18.0
cars_ew.218,19.0
cars_ew.215,23.0
cars_ew.221,16.0
cars_ew.219,21.0
cars_ew.220,21.0
cars_ew.223,15.0
cars_ew.222,19.0
cars_ew.224,16.0
cars_ew.226,19.0
cars_ew.228,17.0
cars_ew.225,21.0
cars_ew.227,21.0
cars_ew.231,16.0
cars_ew.230,21.0
cars_ew.232,17.0
cars_ew.233,19.0
cars_ew.229,24.0
cars_ew.234,21.0
cars_ew.236,19.0
cars_ew.235,20.0
cars_ew.237,20.0
cars_ew.238,18.0
cars_ew.239,20.0
cars_ew.240,18.0
cars_ew.242,17.0
cars_ew.241,18.0
cars_ew.243,17.0
cars_ew.244,20.0
cars_ew.245,18.0
cars_ew.246,17.0
cars_ew.249,15.0
cars_ew.247,22.0
cars_ew.248,20.0
cars_ew.250,20.0
cars_ew.252,18.0
cars_ew.251,19.0
cars_ew.254,17.0
cars_ew.255,19.0
cars_ew.256,17.0
cars_ew.253,28.0
cars_ew.257,21.0
cars_ew.259,18.0
cars_ew.260,17.0
cars_ew.258,21.0
cars_ew.262,18.0
cars_ew.261,19.0
cars_ew.263,19.0
cars_ew.264,19.0
cars_ew.265,18.0
cars_ew.266,19.0
cars_ew.269,17.0
cars_ew.267,21.0
cars_ew.270,17.0
cars_ew.268,22.0
cars_ew.272,18.0
cars_ew.271,21.0
cars_ew.273,19.0
cars_ew.274,20.0
cars_ew.277,16.0
cars_ew.275,22.0
cars_ew.276,23.0
cars_ew.278,20.0
cars_ew.279,21.0
cars_ew.280,20.0
cars_ew.282,19.0
cars_ew.281,19.0
cars_ew.283,18.0
cars_ew.285,19.0
cars_ew.284,21.0
cars_ew.286,20.0
cars_ew.287,19.0
cars_ew.288,19.0
cars_ew.289,20.0
cars_ew.290,20.0
cars_ew.291,17.0
cars_ew.292,19.0
cars_ew.293,19.0
cars_ew.295,17.0
cars_ew.294,21.0
cars_ew.297,17.0
cars_ew.296,17.0
cars_ew.298,20.0
cars_ew.300,18.0
cars_ew.299,22.0
cars_ew.301,18.0
cars_ew.302,20.0
cars_ew.304,18.0
cars_ew.303,20.0
cars_ew.305,16.0
cars_ew.306,20.0
cars_ew.307,18.0
cars_ew.308,17.0
cars_ew.310,18.0
cars_ew.311,18.0
cars_ew.309,20.0
cars_ew.312,18.0
cars_ew.313,21.0
cars_ew.315,18.0
cars_ew.314,20.0
cars_ew.317,16.0
cars_ew.316,18.0
cars_ew.318,19.0
cars_ew.319,19.0
cars_ew.320,17.0
cars_ew.321,19.0
cars_ew.323,20.0
cars_ew.322,22.0
cars_ew.325,19.0
cars_ew.324,23.0
cars_ew.327,19.0
cars_ew.326,22.0
cars_ew.328,19.0
cars_ew.330,18.0
cars_ew.331,16.0
cars_ew.329,23.0
cars_ew.332,19.0
cars_ew.333,17.0
cars_ew.335,16.0
cars_ew.334,18.0
cars_ew.337,16.0
cars_ew.336,18.0
cars_ew.338,18.0
cars_ew.340,16.0
cars_ew.339,19.0
cars_ew.342,17.0
cars_ew.344,16.0
cars_ew.341,19.0
cars_ew.343,18.0
cars_ew.345,17.0
cars_ew.347,18.0
cars_ew.346,20.0
cars_ew.349,17.0
cars_ew.348,19.0
cars_ew.350,21.0
cars_ew.352,19.0
cars_ew.351,19.0
cars_ew.353,19.0
cars_ew.355,16.0
cars_ew.357,16.0
cars_ew.356,17.0
cars_ew.358,16.0
cars_ew.354,24.0
cars_ew.359,21.0
cars_ew.361,17.0
cars_ew.360,20.0
cars_ew.364,17.0
cars_ew.365,16.0
cars_ew.362,22.0
cars_ew.363,23.0
cars_ew.366,20.0
cars_ew.368,17.0
cars_ew.367,19.0
cars_ew.370,17.0
cars_ew.369,21.0
cars_ew.371,19.0
cars_ew.372,17.0
cars_ew.373,20.0
cars_ew.374,19.0
cars_ew.375,18.0
cars_ew.376,18.0
cars_ew.378,18.0
cars_ew.377,21.0
cars_ew.380,16.0
cars_ew.379,20.0
cars_ew.381,18.0
cars_ew.383,16.0
cars_ew.382,19.0
cars_ew.384,20.0
cars_ew.385,19.0
cars_ew.386,17.0
cars_ew.387,16.0
cars_ew.388,19.0
cars_ew.389,20.0
cars_ew.390,19.0
cars_ew.391,22.0
cars_ew.393,19.0
cars_ew.394,19.0
cars_ew.395,18.0
cars_ew.392,25.0
cars_ew.396,19.0
cars_ew.398,17.0
cars_ew.397,20.0
cars_ew.399,20.0
